[2024-12-23 14:58:23.951] [info] [api.cc:223] - f_negate, executed 124 times, duration 0.071930728s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - _and, executed 128 times, duration 0.033722041s, send bytes 301557 recv bytes 301557, send actions 128, recv actions 128
[2024-12-23 14:58:23.951] [info] [api.cc:223] - mixed_mul, executed 50 times, duration 0.021306857s, send bytes 9000 recv bytes 3000, send actions 150, recv actions 50
[2024-12-23 14:58:23.951] [info] [api.cc:223] - _xor, executed 168 times, duration 0.010068046s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - logical_not, executed 51 times, duration 0.009213668s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - seal, executed 13 times, duration 0.002189714s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - i_add, executed 17 times, duration 0.000141208s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - i_equal, executed 2 times, duration 4.6905e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - int2fxp, executed 2 times, duration 3.7196e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:220] MPC profiling: total time 21.142060274
[2024-12-23 14:58:23.951] [info] [api.cc:223] - mmul_aa, executed 690 times, duration 10.965156771s, send bytes 17220216 recv bytes 17220216, send actions 690, recv actions 690
[2024-12-23 14:58:23.951] [info] [api.cc:223] - msb_a2b, executed 398 times, duration 3.694559777s, send bytes 49410576 recv bytes 49410576, send actions 3184, recv actions 3184
[2024-12-23 14:58:23.951] [info] [api.cc:223] - trunc_a, executed 2042 times, duration 2.005251432s, send bytes 264313152 recv bytes 289694976, send actions 4084, recv actions 4128
[2024-12-23 14:58:23.951] [info] [api.cc:223] - mul_aa, executed 1304 times, duration 1.337762818s, send bytes 63968552 recv bytes 63968552, send actions 1304, recv actions 1304
[2024-12-23 14:58:23.951] [info] [api.cc:223] - add_aa, executed 2701 times, duration 0.66315686s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - b2a, executed 426 times, duration 0.481999055s, send bytes 18573904 recv bytes 20618504, send actions 1720, recv actions 1800
[2024-12-23 14:58:23.951] [info] [api.cc:223] - mul_a1b, executed 312 times, duration 0.457928144s, send bytes 28391472 recv bytes 9463824, send actions 936, recv actions 312
[2024-12-23 14:58:23.951] [info] [api.cc:223] - add_ap, executed 2238 times, duration 0.343538693s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - a2b, executed 113 times, duration 0.228961521s, send bytes 3688608 recv bytes 3688608, send actions 904, recv actions 904
[2024-12-23 14:58:23.951] [info] [api.cc:223] - not_a, executed 1081 times, duration 0.202441086s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
